parts_code,item_name
CHEST,ベンチプレス
CHEST,ダンベルフライ
BACK,アシストプルアップマシン
BACK,ラットプルダウン
LEG,バッグスクワット
LEG,レッグプレス
CHEST,ダンベルフライ
CHEST,スミスマシンインクラインベンチプレス
CHEST,ペックデッキフライ
CHEST,ダンベルベンチプレス
CHEST,インクラインダンベルフライ
BACK,シーテッドロウマシン
SHOULDER,アーノルドプレス
SHOULDER,ダンベルサイドレイズ
SHOULDER,シーテッドダンベルサイドレイズ
SHOULDER,シーテッドダンベルプレス
SHOULDER,ショルダーブレスマシン
SHOULDER,ワンハンドケーブルサイドレイズ
ARM,インクラインダンベルカール
ARM,EZバーカール
ARM,EZバーライイングトライセプスエクステンション
ARM,ケーブルプレスダウン
ARM,ケーブルローププッシュダウン
ARM,ダンベルカール
ARM,ナローベンチプレス
ARM,ダンベルフレンチプレス
ARM,ダンベルプリーチャーカール
LEG,レッグエクステンション
LEG,レッグカール
LEG,ルーマニアンデッドリフト
LEG,ダンベルブルガリアンスクアット
LEG,シーテッドレッグプレス
LEG,スプリットスクワット
LEG,ヒップスラストマシン
CHEST,チェストプレスマシン
CHEST,ケーブルフライ
CHEST,ワンハンドケーブルフライ
CHEST,ケーブルクロスオーバー
CHEST,ダンベルプルオーバー
CHEST,スミスマシンベンチプレス
CHEST,ディップス
CHEST,加重ディップス
CHEST,ディップチンアシスト
BACK,ワンハンドシーテッドケーブルロウ
BACK,ワンハンドダンベルロウ
BACK,ケーブルEZバープレスダウン
BACK,ローローマシン
BACK,ベントオーバーロウ
BACK,チンアップ
BACK,加重プルアップ
SHOULDER,インクラインダンベルショルダープレス
SHOULDER,リアデルトマシン
SHOULDER,フェイスプル
SHOULDER,EZバーアップライトロウ
SHOULDER,ワンハンドダンベルインクラインサイドレイズ
SHOULDER,オーバーヘッドプレス
ARM,ケーブルローププッシュダウン